Api_Res,Month/Year,OIL BBLS,GAS MCF,WATER BBLS,DAYS
3723253571,11/2012,70,3308,30,30
3723253571,12/2012,82,3258,31,31
3723253571,01/2013,15,3075,31,31
3723253571,02/2013,0,2613,28,28
3723253571,03/2013,0,2932,31,31
3723253571,04/2013,234,4424,29,30
3723253571,05/2013,180,4197,31,31
3723253571,06/2013,109,4087,30,30
3723253571,07/2013,67,4212,31,31
3723253571,08/2013,121,4098,30,31
3723253571,09/2013,91,4279,30,30
3723253571,10/2013,113,3646,31,31
3723253571,11/2013,0,3510,30,30
3723253571,12/2013,0,3943,31,31
3723253571,01/2014,0,3442,415,31
3723253571,02/2014,108,3403,0,28
3723253571,03/2014,48,3489,27,31
3723253571,04/2014,238,3785,5,30
3723253571,05/2014,126,4105,37,31
3723253571,06/2014,43,3710,8,30
3723253571,07/2014,97,3946,18,31
3723253571,08/2014,98,3989,18,31
3723253571,09/2014,88,3917,17,30
3723253571,10/2014,25,3885,25,31
3723253571,11/2014,27,3601,25,30
3723253571,12/2014,25,3527,27,31
3723253571,01/2015,23,3283,22,30
3723253571,02/2015,213,3238,13,28
3723253571,03/2015,229,4098,13,30
3723253571,04/2015,58,4793,4793,30
3723253571,05/2015,110,4676,0,31
3723253571,06/2015,75,4080,0,30
3723253571,07/2015,109,570,17,31
3723253571,08/2015,90,3546,30,31
3723253571,09/2015,86,3782,30,30
3723253571,10/2015,80,3691,15,31
3723253571,11/2015,90,3098,15,30
3723253571,12/2015,80,3173,17,31
3723253571,01/2016,66,2982,43,31
3723253571,02/2016,75,3114,47,29
3723253571,03/2016,75,3971,45,31
3723253571,04/2016,130,3454,25,30
3723253571,05/2016,75,3570,27,31
3723253571,06/2016,79,3502,43,30
3723253571,07/2016,75,3492,17,31
3723253571,08/2016,80,3472,18,31
3723253571,09/2016,45,3435,2,30
3723253571,10/2016,81,3755,0,31
3723253571,11/2016,75,3235,0,30
3723253571,12/2016,92,2965,53,31
3723253571,01/2017,80,2784,22,31
3723253571,02/2017,65,2580,22,27
3723253571,03/2017,75,3102,18,29
3723253571,04/2017,0,0,18,0
3723253571,05/2017,0,5323,0,25
3723253571,06/2017,251,4087,45,28
3723253571,07/2017,80,3487,20,30
3723253571,08/2017,606,3642,23,28
3723253571,09/2017,32,3628,17,30
3723253571,10/2017,16,3698,17,31
3723253571,11/2017,199,3522,17,30
3723253571,12/2017,25,3522,18,31
3723253571,01/2018,120,3603,23,31
3723253571,02/2018,36,3203,0,28
3723253571,03/2018,19,3533,0,31
3723253571,04/2018,94,3071,5,30
3723253571,05/2018,0,3321,5,31
3723253571,06/2018,0,3727,0,30
3723253571,07/2018,93,3639,48,31
3723253571,08/2018,72,3332,10,31
3723253571,09/2018,0,2901,0,30
3723253571,10/2018,117,3381,12,31
3723253571,11/2018,87,3465,68,29
3723253571,12/2018,72,3285,28,31
3723253571,01/2019,10,3609,7,30
3723253571,02/2019,7,2958,0,28
3723253571,03/2019,23,2961,2,31
3723253571,04/2019,80,2973,2,30
3723253571,05/2019,22,3082,10,31
3723253571,06/2019,52,2844,0,29
3723253571,07/2019,63,2964,8,31
3723253571,08/2019,106,3448,48,29
3723253571,09/2019,77,2808,10,30
3723253571,10/2019,60,3221,18,31
3723253571,11/2019,64,2889,10,30
3723253571,12/2019,37,2686,13,31
3723253571,01/2020,92,2664,8,31
3723253571,02/2020,52,2764,52,28
3723253571,03/2020,60,2777,7,31
3723253571,04/2020,0,0,0,0
3723253571,05/2020,0,0,0,0
3723253571,06/2020,0,0,0,0
3723253571,07/2020,0,0,0,0
3723253571,08/2020,0,0,0,0
3723253571,09/2020,0,0,0,0
3723253571,10/2020,0,0,0,0
3723253571,11/2020,0,0,0,0
3723253571,12/2020,0,0,0,0
